Company,Address,Website,Business Type,Industry,Offer,Products,Email Address,Phone Number,Types of Workers Needed,Ratings of workers,Date Accessed,
Acre Resources Ltd,London,,,Recruitment,,,,, Skilled Worker,Worker (A rating),1-Feb-17,
acrinax Ltd,London,,,"IT,Telecommunication",,,,, Skilled Worker,Worker (A rating),4-Feb-20,
Acrisure Re Canada Limited,London,,,Others,,,,,"Skilled Worker,Intra-company Routes","Worker (A rating),Worker (A rating)",15-Sep-21,
Acro Aircraft Seating Limited,Crick,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",6-Jun-19,
Across the Pond - Study in Britain Limited,Crookham Village,,,Recruitment,,,,, Skilled Worker,Worker (A rating),29-Nov-19,
Across the Pond Productions Limited,London,,,Video or Music Production,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Acrotrend Solutions Limited,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),20-Oct-17,
ACRS Limited,Pershore,,,Construction,,,,,Skilled Worker,Worker (A rating),22-Feb-21,
Acrylicize Ltd,Lodnon,,,"Arts ,Entertainment",,,,, Skilled Worker,Worker (A rating),7-Apr-15,
ACS Aviation Ltd,Scone,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),14-Mar-16,
ACS Care at Home Ltd,Lochgelly,,,Social Work,,,,,Skilled Worker,Worker (A rating),13-Sep-21,
ACS COMMUNITY PROJECTS (ACS UK) LTD,"Dagenham Heathway, Essex",,,Social Work,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
ACS International,Nottingham,,,Others,,,,, Skilled Worker,Worker (A rating),8-Jan-19,
ACS International Ltd - UK Branch,Beaconsfield,,,Others,,,,,"Intra-company Routes,Skilled Worker","Worker (A rating),Worker (A rating)",25-Aug-21,
ACS International Schools Limited,Cobham,,,Education,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
ACS NATIONWIDE LTD,Woking,,,Transportation & Storage,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
ACT Blade Ltd,Edinburgh,,,Scientific Research,,,,,Skilled Worker,Worker (A rating),31-Mar-21,
ACT London Limited,London,,,Others,,,,, Skilled Worker,Worker (A rating),31-May-18,
Actant Ltd,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),22-May-18,
Actelligent (U.K.) Company Limited,London,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),18-Dec-18,
Actemium UK Ltd,Birmingham,,,Construction,,,,, Skilled Worker,Worker (A rating),19-Jan-16,
Acteon Group Limited,Norwich,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
ACTI LABORATORIES LTD,ANDOVER,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),7-Jun-17,
Actimize UK Limited,London,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",20-Feb-17,
Action 365 Ltd,Cheadle Hulme,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),2-Feb-18,
Action Against Hunger UK,London,,,Social Work,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
Action Artificial Intelligence Limited,Brighton,,,Management,,,,, Skilled Worker,Worker (A rating),21-Oct-20,
Action for Children,Watford,,,Social Work,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Action for Dolphins,London,,,Others,,,,, Skilled Worker,Worker (A rating),6-Feb-19,
Action for Humanity Limited,Salford,,,Social Work,,,,,"Intra-company Routes,Skilled Worker,Voluntary Workers","Worker (A rating),Worker (A rating),Temporary Worker (A rating)",24-Mar-21,
Action for Social Inclusion Partnership (ASIP),Enfield,,,Others,,,,, Voluntary Workers,Temporary Worker (A rating),2-Jul-18,
Action on Disability,London,,,Social Work,,,,,Skilled Worker,Worker (A rating),29-Apr-21,
Action Reconciliation Service for Peace,Sidmouth,,,Others,,,,, Voluntary Workers,Temporary Worker (A rating),31-May-18,
Action Sustainability,London,,,Others,,,,, Skilled Worker,Worker (A rating),23-Aug-17,
Action Transport Theatre,Ellesmere Port,,,"Arts ,Entertainment",,,,, Creative & Sporting,Temporary Worker (A rating),17-Mar-20,
ActionAid UK,London,,,Education,,,,,Intra-company Routes MP9JT22M3,Worker (A rating),21-Jun-21,
ACTIONBROOK SERVICES LTD,South Woodham Ferrers,,,Construction,,,,, Skilled Worker,Worker (A rating),3-May-14,
Actis LLP,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Actito UK,London,,,Others,,,,,"Skilled Worker,Intra-company Routes","Worker (A rating),Worker (A rating)",14-May-21,
Activ Social Enterprise Limited,London,,,Education,,,,, Skilled Worker,Worker (A rating),5-Mar-18,
Activate Learning Education Trust,Oxford,,,Education,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
Activate Performing Arts,Dorchester,,,"Arts ,Entertainment",,,,,Creative & Sporting PQBKYTW76,Temporary Worker (A rating),14-Jun-21,
Active,Dalry,,,Management,,,,, Creative & Sporting,Temporary Worker (A rating),4-Aug-13,
Active Assistance,Sevenoaks,,,Social Work,,,,, Skilled Worker,Worker (A rating),2-Feb-18,
Active Building Centre Ltd,Swindon,,,Management,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
ACTIVE INTERNATIONAL LTD,LONDON,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Active Pet,Coleshill,,,Others,,,,, Skilled Worker,Worker (A rating),7-Nov-17,
Active Remedial Solutions Ltd,Leicester,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),24-Jan-14,
Active Securities Ltd,London,,,Others,,,,, Skilled Worker,Worker (A rating),7-Jan-14,
ACTIVE SILICON LIMITED,IVER HEATH,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),27-Dec-18,
Active Wear Ltd,Maidstone,,,Manufacturing,,,,,Skilled Worker,Worker (A rating),18-May-21,
Active Webdezign Ltd,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
ActiveDocs UK Limited,London,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",2-Nov-17,
ActiveIS Limited,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
ActiveOps PLC,Reading,,,Computer Programming,,,,,"Skilled Worker,Intra-company Routes","Worker (A rating),Worker (A rating)",30-Jul-21,
ActiveViam Ltd,London,,,Software Publishing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",23-Oct-18,
"Activision Europe, Limited",Birmingham,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",30-Dec-20,
ACTIVTRADES,LONDON,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Activus Limited,Bristol,,,Management,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Acton Finishing Limited,Coventry,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),5-Sep-14,
Acton Muslim Welfare Association,London,,,Others,,,,," Religious Worker, T2 Minister of Religion","Temporary Worker (A rating),Worker (A rating)",4-Aug-13,
ACTS COMMUNITY CHURCH,TYLORSTOWN,,,Social Work,,,,, Voluntary Workers,Temporary Worker (A rating),25-Oct-13,
Acts London,London,,,Others,,,,, T2 Minister of Religion,Worker (A rating),30-Dec-20,
Actual Experience Plc,Bath,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),4-Aug-17,
Acturis Ltd,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Acu-Flow Limited (t/a Nebu~Flow),Glasgow,,,Others,,,,, Skilled Worker,Worker (A rating),17-Nov-20,
Acuiti Labs Limited,London,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",11-Apr-18,
ACUITY KNOWLEDGE PARTNERS (UK) LIMITED,London,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",6-Feb-20,
Acuity Solutions Ltd,London,,,Others,,,,,Skilled Worker,Worker (A rating),13-Sep-21,
Acuma Solutions Limited,Stockport,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Acumed Ltd,Andover,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),9-Oct-18,
Acumen Commercial Insights LTD,Richmond upon Thames,,,Management,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Acumen Field Limited,Stockport,,,Others,,,,,Skilled Worker ND143VVG0,Worker (A rating),10-Jun-21,
Acumen Inc,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",27-Jun-18,
Acumen Solutions UK Limited,London,,,Architecture,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",22-Nov-14,
ACUPAY SYSTEM LLC,LONDON,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",17-Sep-14,
ACUPRO CLINIC,London,,,Social Work,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Acurable Ltd,London,,,Scientific Research,,,,, Skilled Worker,Worker (A rating),20-Sep-18,
Acute Art Limited,Horsforth,,,Others,,,,, Skilled Worker,Worker (A rating),14-Aug-18,
Acuutech Limited,"Loughton,",,,Others,,,,, Skilled Worker,Worker (A rating),25-Apr-19,
Acuvate Software Ltd,Slough,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Acxel Tech Limited,Cambridge,,,Scientific Research,,,,, Skilled Worker,Worker (A rating),15-Oct-18,
Acxiom Limited,London,,,"IT,Telecommunication",,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",13-Feb-14,
AD Data Analytics Ltd,Peterborough,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),16-Sep-21,
AD Security Solutions Ltd,Northolt,,,Security,,,,,Skilled Worker,Worker (A rating),29-Jul-21,
Ad Systems UK Ltd,Blackpool,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),14-Sep-20,
AD Technologies Ltd,Reading,,,Others,,,,, Skilled Worker,Worker (A rating),11-Jan-19,
Ada Associates UK Ltd,Edmonton,,,Legal,,,,, Skilled Worker,Worker (A rating),3-May-14,
Ada Digital Health Ltd,London,,,Social Work,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",16-Nov-17,
Adada Ltd T/A Adada Care Services,Chester,,,Others,,,,,Skilled Worker,Worker (A rating),24-May-21,
ADAM Architecture Ltd,Winchester,,,Architecture,,,,, Skilled Worker,Worker (A rating),14-Nov-16,
ADAM Asset Management Limited,London,,,Real estate,,,,, Skilled Worker,Worker (A rating),21-Dec-18,
Adam Bernard Solicitors,London,,,Legal,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Adam Mosque & Dawah Academy,Birmingham,,,Religious,,,,,"Religious Worker,Voluntary Workers","Temporary Worker (A rating),Temporary Worker (A rating)",19-Apr-21,
Adam Renovations Ltd,London,,,Construction,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
Adam Smith International Limited,London,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Adam Spiegel Productions Ltd,London,,,"Arts ,Entertainment",,,,, Creative & Sporting,Temporary Worker (A rating),5-Sep-15,
Adams & Moore Limited,Dartford,,,Legal,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Adams Academy Inc Ltd,Aldgate,,,Education,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
ADAMS CARE LTD,Chingford,,,Social Work,,,,, Skilled Worker,Worker (A rating),12-Aug-20,
Adams Cash & Carry Limited,Peterborough,,,Others,,,,,Skilled Worker,Worker (A rating),19-Apr-21,
Adams Gold Limited,London,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),3-May-14,
Adams' Grammar School,Newport,,,Others,,,,, Voluntary Workers,Temporary Worker (A rating),4-Aug-13,
Adamson Associates (International) Ltd,London,,,Administrative and support,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Adaptate Biotherapeutics Limited,London,,,Scientific Research,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
Adaptimmune Limited,Abingdon,,,Scientific Research,,,,, Skilled Worker,Worker (A rating),14-May-14,
Adaptive Financial Consulting Ltd,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),3-Feb-15,
Adaptix Ltd,Oxford,,,Scientific Research,,,,, Skilled Worker,Worker (A rating),1-Jul-16,
Adarga Limited,London,,,Management,,,,, Skilled Worker,Worker (A rating),28-Aug-19,
Adarma Limited,Edinburgh,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),21-Nov-19,
ADB Safegate Airport Systems UK Ltd,Manchester,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
Adbell International Limited,London,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),14-Dec-18,
ADC Therapeutics (UK) Limited,London,,,Scientific Research,,,,,Skilled Worker PVF471VB9,Worker (A rating),21-Jun-21,
Adcolony UK Limited,London,,,Advertising,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",14-Aug-18,
ADD International (Action on Disability and Development),Frome,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Add Latent Ltd,Aberdeen,,,Administrative and support,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",24-Jan-20,
Addax Petroleum UK Limited,Aberdeen,,,Mining and Quarrying,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",16-May-14,
ADDDYNAMICS UK LIMITED,LONDON,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
Added Scientific Limited,Nottingham,,,Architecture,,,,, Skilled Worker,Worker (A rating),2-Feb-18,
ADDEPAR UK LTD,BRISTOL,,,Computer Programming,,,,,"Intra-company Routes,Skilled Worker","Worker (A rating),Worker (A rating)",3-Sep-21,
Adder Technology Limited,Cambridge,,,Manufacturing,,,,,Skilled Worker,Worker (A rating),25-Aug-21,
Adderley Green Surgery,Stoke On Trent,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),17-Aug-21,
Addington Captial LLP,London,,,Others,,,,, Skilled Worker,Worker (A rating),5-Jul-19,
Addison and Khan Solicitors London Limited,Essex,,,Legal,,,,, Skilled Worker,Worker (A rating),22-Nov-17,
ADDISON BRADLEY & CO. LIMITED,London,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),9-Nov-20,
ADDISON LEE SERVICES LIMITED,London,,,Transportation & Storage,,,,, Skilled Worker,Worker (A rating),1-Jul-19,
Additive Industries UK & Ireland Ltd.,Bristol,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),18-Aug-20,
Addland Limited,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),19-Mar-20,
Addleshaw Goddard LLP,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",25-Mar-15,
Address Intelligence Technologies Limited,London,,,Others,,,,, Skilled Worker,Worker (A rating),14-Aug-18,
Adea Ltd  T/A  The Sichuan,London,,,Others,,,,, Skilled Worker,Worker (A rating),9-Aug-19,
Adecco UK Limited,London,,,Recruitment,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Adeena Ltd,Grays,,,Others,,,,,Skilled Worker,Worker (A rating),10-Sep-21,
Adelaide Nursing Home Ltd,Brighton,,,Care Home,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
ADELANTA CONSULTING LTD,London,,,Management,,,,, Skilled Worker,Worker (A rating),31-Dec-20,
Adelante Software Ltd,Maidenhead,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Adelie Food Group Ltd,Heathrow,,,"Finance,Insurance",,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",22-Dec-13,
Ademco 1 Limited,Bracknell,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",21-Jan-19,
Adept Contracts Ltd,London,,,Construction,,,,, Skilled Worker,Worker (A rating),27-Dec-18,
Adept Management Ltd,Coventry,,,Management,,,,, Skilled Worker,Worker (A rating),29-Aug-13,
Adeptica Ltd,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),24-Sep-18,
Adequita Capital Limited,London,,,Others,,,,, Skilled Worker,Worker (A rating),11-Feb-19,
Aderant Legal (UK) Limited,London,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",24-Apr-20,
Ades Ltd,London,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),21-May-18,
ADESA Remarketing Limited,Chester,,,Wholesale & Retail,,,,, Intra-company Routes,Worker (A rating),18-Dec-17,
ADETA FAMILY GROUP LIMITED,LONDON,,,Others,,,,, Skilled Worker,Worker (A rating),14-Dec-16,
Adevinta UK Ltd,London,,,Recruitment,,,,,"Intra-company Routes,Skilled Worker","Worker (A rating),Worker (A rating)",3-Aug-21,
Adey Innovation Limited,Stonehouse,,,Architecture,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Adfenix Ltd,London,,,Advertising,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",15-Nov-19,
Adform London Limited,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),11-Nov-14,
ADG Market Making LLP,London,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Adhunter Limited,London,,,"IT,Telecommunication",,,,, Skilled Worker,Worker (A rating),9-Apr-17,
adi Automation Limited,Birmingham,,,Others,,,,, Skilled Worker,Worker (A rating),8-Apr-19,
Adichis Healthcare Ltd,Coventry,,,Social Work,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
adidas UK Ltd,Stockport,,,Wholesale & Retail,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Adient Seating UK Ltd,Coventry,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",17-Mar-17,
Adit Teleservices Limited,Reading,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),5-Mar-18,
ADJ Retail Ltd,Cramlington,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Adjaye Associates Limited,London,,,Others,,,,, Skilled Worker,Worker (A rating),3-May-14,
Adjoint UK Ltd,London,,,Computer Programming,,,,, Intra-company Routes,Worker (A rating),13-Jan-18,
Adjust Software Limited,London,,,Advertising,,,,,"Intra-company Routes,Skilled Worker","Worker (A rating),Worker (A rating)",29-Jul-21,
Adjusting Services Ltd,London,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Adkins & Matchett (UK) Ltd,London,,,Administrative and support,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Adkins Consultants Limited,Maidstone,,,Others,,,,, Skilled Worker,Worker (A rating),9-Apr-19,
Adlens Limited,Eynsham,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Adlib Digital Limited,London,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),16-Sep-21,
Adlington Cricket Club,Near Bolton,,,Others,,,,, Creative & Sporting,Temporary Worker (A rating),7-Dec-18,
Adludio Limited,London,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",18-Dec-14,
ADM AUTOMATION LIMITED,GATESHEAD,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),15-Aug-18,
ADM Capital Europe LLP,London,,,Others,,,,, Skilled Worker,Worker (A rating),18-Dec-17,
ADM COMPUTING,Canterbury,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),28-Nov-19,
ADM Pressings Limited,Newcastle upon Tyne,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),6-Feb-14,
ADM Promotions UK Limited,London,,,Wholesale & Retail,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",11-Dec-18,
Administrate Ltd,Edinburgh,,,Management,,,,, Skilled Worker,Worker (A rating),18-May-15,
Admiral Markets UK Ltd,London,,,"Finance,Insurance",,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-20,
Admiral Recruitment Limited,London,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),15-Nov-17,
Admirals House Ltd T/A Thetford Raj Restaurant,Thetford,,,Others,,,,,Skilled Worker,Worker (A rating),29-Mar-21,
Admire Healthcare T/A Apollo House,Northampton,,,Care Home,,,,,Skilled Worker,Worker (A rating),13-Aug-21,
Admix,London,,,Others,,,,, Skilled Worker,Worker (A rating),11-Jun-20,
Adobe Systems Europe Limited,Maidenhead,,,Administrative and support,,,,,"Skilled Worker CCY0816TX,Intra-company Routes CCY0816TX","Worker (A rating),Worker (A rating)",1-Jun-21,
Adonis Smart Foods Studio 2.18,LONDON,,,Manufacturing,,,,,"Intra-company Routes,Skilled Worker","Worker (A rating),Worker (A rating)",30-Mar-21,
Adoreboard Limited,Belfast,,,Others,,,,, Skilled Worker,Worker (A rating),15-Feb-19,
Adorn Hair & Beauty Limited,High Wycombe,,,Others,,,,,Skilled Worker,Worker (A rating),30-Apr-21,
ADORN SPA LIMITED,WEMBLEY,,,Others,,,,, Skilled Worker,Worker (A rating),1-Oct-13,
Adrem Contracts Limited,London,,,Construction,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Adrem Group Ltd,London,,,Recruitment,,,,,Skilled Worker,Worker (A rating),17-Sep-21,
ADRIAN & CO,Norbury,,,Others,,,,, Skilled Worker,Worker (A rating),19-Jun-14,
ADRIAN GIBSON MUSIC PRODUCTIONS,SURREY,,,"Arts ,Entertainment",,,,, Creative & Sporting,Temporary Worker (A rating),24-Apr-18,
Adroit Accountax Ltd,london,,,Legal,,,,, Skilled Worker,Worker (A rating),22-Nov-17,
Adroit Tech Solutions,Bracknell,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),29-Jul-19,
Adroll UK Limited,London,,,Advertising,,,,,"Skilled Worker,Intra-company Routes","Worker (A rating),Worker (A rating)",2-Mar-21,
ADROSONIC UK LIMITED,LONDON,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",13-Mar-20,
ADS AND SONS GLAZING LTD,OLDBURY,,,Manufacturing,,,,,Skilled Worker,Worker (A rating),12-Aug-21,
ADS Group Limited,London,,,Others,,,,,Government Authorised Exchange,Temporary Worker (A rating),6-Sep-21,
ADS Securities London Ltd,London,,,"Finance,Insurance",,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",6-Mar-15,
Adsec Group,Romford,,,Others,,,,,Skilled Worker,Worker (A rating),14-Sep-21,
Adstream UK Ltd,London,,,Video or Music Production,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Adsyst (Automation) Ltd,Stafford,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),5-Feb-15,
ADTEK LIMITED,NEWCASTLE,,,"Electricity,Gas,Steam,Air",,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Adthena Ltd,London,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",20-Sep-17,
ADTRAN Europe Limited,Basingstoke,,,Wholesale & Retail,,,,, Intra-company Routes,Worker (A rating),12-Jun-20,
ADVA Optical Networking Ltd,York,,,Manufacturing,,,,, Intra-company Routes,Worker (A rating),8-Sep-14,
ADVANCE AGILITY LTD,Ruislip,,,Others,,,,,Skilled Worker,Worker (A rating),30-Jul-21,
Advance Education Centre(London),London,,,Others,,,,, Skilled Worker,Worker (A rating),2-Jan-19,
Advance Global Capital Lt,London,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),27-Jun-19,
Advance International Media Ltd,London,,,Advertising,,,,, Skilled Worker,Worker (A rating),28-Nov-13,
Advance Motors Limited,Slough,,,Others,,,,, Skilled Worker,Worker (A rating),11-Apr-19,
Advance Shipping Limited,London,,,Transportation & Storage,,,,, Skilled Worker,Worker (A rating),4-Nov-20,
Advanced 365 Limited,LONDON,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Advanced Accelerator Applications (UK & Ireland) Limited,London,,,Wholesale & Retail,,,,,"Intra-company Routes,Skilled Worker","Worker (A rating),Worker (A rating)",28-Jul-21,
Advanced Alternative Media Limited,London,,,Advertising,,,,, Creative & Sporting,Temporary Worker (A rating),11-Sep-18,
ADVANCED BROADCAST SERVICES LIMITED,London,,,Radio and Television,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Advanced Capability Solutions Ltd,London,,,Management,,,,, Skilled Worker,Worker (A rating),9-Jul-15,
Advanced Consulting Service Limited,Mansfield Woodhouse,,,Management,,,,, Skilled Worker,Worker (A rating),15-Sep-17,
ADVANCED DESIGN TECHNOLOGY LIMITED,LONDON,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Advanced Electric Machines Research Ltd,Washington,,,Architecture,,,,, Skilled Worker,Worker (A rating),26-May-20,
Advanced Electronics Limited,Newcastle upon Tyne,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),1-May-15,
Advanced Engine Research Ltd,Basildon,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),16-Dec-19,
Advanced Hair Studios Group Ltd,London,,,Management,,,,, Skilled Worker,Worker (A rating),11-Jan-17,
Advanced Healthcare Ltd,Tonbridge,,,Manufacturing,,,,, Intra-company Routes,Worker (A rating),4-Aug-13,
Advanced Insulation Systems Ltd,Gloucester,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),11-Jul-16,
Advanced Interior Solutions Limited,London,,,Construction,,,,, Skilled Worker,Worker (A rating),24-Apr-18,
Advanced Laser Technology Limited,Stockport,,,Management,,,,, Skilled Worker,Worker (A rating),20-Feb-16,
Advanced Manufacturing(Sheffield) Ltd,Rotherham,,,Others,,,,, Skilled Worker,Worker (A rating),7-Jun-17,
Advanced Medical Solutions Limited,Winsford,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),13-Nov-18,
ADVANCED MOLECULAR DIAGNOSTICS LTD,Nottingham,,,Manufacturing,,,,,Skilled Worker,Worker (A rating),12-Aug-21,
Advanced Oncotherapy Plc,London,,,Social Work,,,,, Skilled Worker,Worker (A rating),1-Aug-14,
Advanced Payment Solutions,London,,,Others,,,,, Skilled Worker,Worker (A rating),19-Nov-13,
Advanced Personnel Management Group (UK) Ltd,Birmingham,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",2-Jan-19,
Advanced Sensors Limited,Carrickfergus,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Advanced Solutions International (Europe) Ltd,Shoreham by Sea,,,Computer Programming,,,,, Intra-company Routes,Worker (A rating),4-Aug-13,
Advancing Analytics Limited,Bovey Tracey,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),20-Sep-21,
Advancy Ltd,London,,,Management,,,,, Skilled Worker,Worker (A rating),24-Sep-18,
Advansys Engineering Services and Consultancy Limited,Oxford,,,Architecture,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",19-Nov-19,
Advantage Business Systems Limited,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Advantage Multi-Academy Trust,Hounslow,,,Education,,,,, Skilled Worker,Worker (A rating),31-May-18,
Advantage Travel Centres Limited,London,,,Travel and Tourism,,,,, Skilled Worker,Worker (A rating),10-Mar-18,
Advantage-NRG Ltd,Preston,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
